District,Population,Healthcare_Facilities,Malaria_Cases,TB_Cases,HIV_Cases,Deaths,Year,Target_Cases,Priority_Level
Kigali,117778,3,3248,112,389,33,1990,4187,Medium
Huye,130995,14,2570,220,222,45,1990,3277,Medium
Musanze,123070,12,2234,232,64,16,1990,2617,Medium
Rubavu,247189,8,2496,256,272,46,1990,2139,Medium
Rusizi,190591,15,1586,195,323,75,1990,1549,Medium
Nyagatare,116675,14,3428,238,179,61,1990,3330,Medium
Rwamagana,111575,11,1644,106,193,104,1990,2007,Medium
Gicumbi,163377,3,5248,207,662,34,1990,5298,High
Nyanza,82187,13,-129,14,416,82,1990,-479,Low
Karongi,125938,13,4090,137,614,43,1990,3852,High
Bugesera,305433,12,3242,79,187,59,1990,3758,Medium
Nyamasheke,281453,14,2680,89,674,76,1990,2433,Medium
Gisagara,99492,14,5118,138,497,64,1990,5874,High
Muhanga,251982,5,3695,26,51,20,1990,4349,High
Ngoma,259197,14,924,110,270,27,1990,1051,Low
Kayonza,146031,9,3547,199,665,32,1990,3150,High
Kirehe,154592,6,3988,333,508,45,1990,3640,High
Rutsiro,200668,11,5227,152,519,96,1990,5064,High
Burera,74867,5,2729,268,368,44,1990,3185,Medium
Ngororero,227835,7,1365,161,174,64,1990,1665,Low
Kamonyi,87458,5,4194,158,600,93,1990,5109,High
Nyabihu,192573,9,2639,308,604,88,1990,2826,Medium
Gakenke,223863,7,954,138,688,74,1990,491,Low
Nyaruguru,156020,11,3071,185,421,7,1990,3877,Medium
Rulindo,226617,9,3324,259,583,26,1990,3107,Medium
Gasabo,187159,4,1653,225,291,76,1990,1811,Medium
Kicukiro,158681,6,2055,66,675,92,1990,1571,Medium
Nyarugenge,194983,11,1032,213,563,15,1990,1928,Low
Ruhango,107906,14,895,102,353,77,1990,1455,Low
Gisagara2,178184,4,855,325,215,73,1990,1054,Low
Kigali,120133,2,2533,85,389,28,1991,3312,Medium
Huye,133615,13,3670,170,64,44,1991,3735,High
Musanze,125532,11,2681,282,130,25,1991,2806,Medium
Rubavu,252132,7,2174,233,219,32,1991,1828,Medium
Rusizi,194403,14,1467,124,216,77,1991,2383,Low
Nyagatare,119008,13,3890,283,70,67,1991,4148,High
Rwamagana,113806,10,812,138,96,97,1991,1139,Low
Gicumbi,166645,2,5043,162,558,30,1991,5227,High
Nyanza,83831,12,-447,78,413,78,1991,-548,Low
Karongi,128457,12,3305,119,687,55,1991,3920,Medium
Bugesera,311542,11,2832,129,129,62,1991,2906,Medium
Nyamasheke,287082,13,2298,109,603,77,1991,2479,Medium
Gisagara,101482,13,4280,84,514,66,1991,4223,High
Muhanga,257022,4,3185,104,11,16,1991,2689,Medium
Ngoma,264381,13,1647,154,222,39,1991,2138,Medium
Kayonza,148952,8,3844,221,548,29,1991,4166,High
Kirehe,157683,5,3048,286,540,55,1991,2917,Medium
Rutsiro,204681,10,3978,164,538,99,1991,3597,High
Burera,76364,4,1830,233,297,33,1991,2827,Medium
Ngororero,232392,6,-223,123,36,69,1991,289,Low
Kamonyi,89208,4,5461,195,674,74,1991,5762,High
Nyabihu,196425,8,2600,289,548,95,1991,3360,Medium
Gakenke,228340,6,2403,80,589,67,1991,2606,Medium
Nyaruguru,159140,10,4312,203,261,2,1991,4911,High
Rulindo,231149,8,3451,177,741,30,1991,4060,Medium
Gasabo,190902,3,1471,190,163,75,1991,1979,Low
Kicukiro,161854,5,609,93,680,87,1991,1020,Low
Nyarugenge,198883,10,54,211,581,8,1991,866,Low
Ruhango,110065,13,1655,97,330,78,1991,2278,Medium
Gisagara2,181748,3,1377,284,307,89,1991,1318,Low
Kigali,122536,2,3172,23,298,40,1992,3187,Medium
Huye,136288,13,3363,176,119,36,1992,3359,Medium
Musanze,128042,11,3007,247,110,23,1992,3196,Medium
Rubavu,257175,7,2561,219,294,49,1992,3511,Medium
Rusizi,198291,14,2614,134,266,70,1992,3554,Medium
Nyagatare,121388,13,3247,309,74,69,1992,3031,Medium
Rwamagana,116082,10,671,51,141,98,1992,1447,Low
Gicumbi,169978,2,4012,190,582,34,1992,4116,High
Nyanza,85508,12,1479,87,495,66,1992,1093,Low
Karongi,131026,12,3268,50,768,58,1992,3866,Medium
Bugesera,317773,11,1867,99,118,47,1992,2784,Medium
Nyamasheke,292823,13,2977,160,697,63,1992,3599,Medium
Gisagara,103512,13,5014,151,556,60,1992,5906,High
Muhanga,262162,4,4291,20,26,7,1992,4663,High
Ngoma,269668,13,2342,103,329,46,1992,2570,Medium
Kayonza,151931,8,4326,140,688,45,1992,4002,High
Kirehe,160837,5,3748,246,585,51,1992,3323,High
Rutsiro,208774,10,3607,205,419,96,1992,3841,High
Burera,77891,4,2407,266,288,43,1992,2050,Medium
Ngororero,237039,6,545,130,112,72,1992,1093,Low
Kamonyi,90992,4,4744,222,605,89,1992,4812,High
Nyabihu,200353,8,2543,294,501,94,1992,2440,Medium
Gakenke,232907,6,1741,84,736,71,1992,1898,Medium
Nyaruguru,162323,10,3592,210,248,9,1992,4045,High
Rulindo,235772,8,3789,178,569,39,1992,4480,High
Gasabo,194720,3,944,170,272,62,1992,472,Low
Kicukiro,165091,5,1704,69,566,83,1992,2592,Medium
Nyarugenge,202861,10,1693,207,550,8,1992,1409,Medium
Ruhango,112266,13,1702,7,265,74,1992,2477,Medium
Gisagara2,185383,3,2014,251,358,82,1992,2719,Medium
Kigali,124987,2,1707,113,319,46,1993,1245,Medium
Huye,139013,13,3473,219,212,47,1993,3726,Medium
Musanze,130603,11,3355,273,174,19,1993,3683,Medium
Rubavu,262319,7,1757,225,134,33,1993,1604,Medium
Rusizi,202257,14,1167,185,312,70,1993,1600,Low
Nyagatare,123816,13,3196,241,89,69,1993,3380,Medium
Rwamagana,118404,10,946,84,107,99,1993,1618,Low
Gicumbi,173377,2,3593,240,665,29,1993,4557,High
Nyanza,87218,12,959,60,454,78,1993,1625,Low
Karongi,133647,12,4090,44,689,43,1993,4245,High
Bugesera,324128,11,1925,120,109,53,1993,2160,Medium
Nyamasheke,298680,13,1868,159,647,72,1993,2799,Medium
Gisagara,105582,13,4110,77,582,59,1993,3699,High
Muhanga,267405,4,4244,65,63,22,1993,4283,High
Ngoma,275062,13,1252,127,408,43,1993,1976,Low
Kayonza,154970,8,3889,211,658,39,1993,4665,High
Kirehe,164054,5,2502,316,511,47,1993,2451,Medium
Rutsiro,212950,10,3352,190,421,100,1993,4126,Medium
Burera,79449,4,1876,219,324,29,1993,1749,Medium
Ngororero,241780,6,749,79,190,71,1993,1101,Low
Kamonyi,92812,4,5102,200,638,90,1993,6086,High
Nyabihu,204360,8,3433,339,564,90,1993,3443,Medium
Gakenke,237565,6,879,100,628,66,1993,854,Low
Nyaruguru,165570,10,3550,229,372,5,1993,3820,High
Rulindo,240487,8,4758,184,615,30,1993,4971,High
Gasabo,198614,3,2256,244,239,74,1993,2212,Medium
Kicukiro,168393,5,2417,32,534,88,1993,2633,Medium
Nyarugenge,206918,10,1632,183,598,18,1993,1619,Medium
Ruhango,114511,13,2201,37,321,76,1993,1854,Medium
Gisagara2,189090,3,825,266,351,73,1993,1654,Low
Kigali,127487,2,1808,87,283,39,1994,1696,Medium
Huye,141794,13,3313,246,96,51,1994,3436,Medium
Musanze,133215,11,2878,262,177,26,1994,3630,Medium
Rubavu,267565,7,1715,200,199,41,1994,1649,Medium
Rusizi,206302,14,1080,160,391,71,1994,1385,Low
Nyagatare,126292,13,3385,333,113,72,1994,3743,Medium
Rwamagana,120772,10,709,102,98,90,1994,1192,Low
Gicumbi,176845,2,4872,185,607,45,1994,4452,High
Nyanza,88962,12,-334,42,537,74,1994,-651,Low
Karongi,136320,12,4076,117,589,60,1994,4559,High
Bugesera,330611,11,1523,97,103,45,1994,1227,Medium
Nyamasheke,304654,13,1210,130,660,75,1994,1470,Low
Gisagara,107694,13,5129,124,540,66,1994,6026,High
Muhanga,272753,4,4508,15,135,12,1994,4907,High
Ngoma,280563,13,2240,111,411,29,1994,2406,Medium
Kayonza,158069,8,3053,159,679,45,1994,3979,Medium
Kirehe,167335,5,3925,239,488,52,1994,3958,High
Rutsiro,217209,10,4771,204,392,87,1994,4503,High
Burera,81038,4,1523,304,251,30,1994,2124,Medium
Ngororero,246616,6,1414,106,168,69,1994,1707,Low
Kamonyi,94668,4,4045,184,673,88,1994,4624,High
Nyabihu,208447,8,1830,304,507,104,1994,2379,Medium
Gakenke,242316,6,1298,80,581,77,1994,2074,Low
